pop,chromosome,window_pos_1,window_pos_2,avg_pi,no_sites,count_diffs,count_comparisons,count_missing
B_SPWA,Scaffold_1__1_contigs__length_31190920,195001,210000,0.0537222728653904,1097,7072,131640,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,195001,210000,0.0539767048393511,1097,104769,1941004,12
B_SPWA,Scaffold_1__1_contigs__length_31190920,210001,225000,0.0440869127825834,1177,6223,141153,6
E_NCCA,Scaffold_1__1_contigs__length_31190920,210001,225000,0.0417347060315215,1177,86897,2082128,20
Salish,Scaffold_1__1_contigs__length_31190920,210001,225000,0.047409863509686,1177,14613,308227,762
Salish,Scaffold_1__1_contigs__length_31190920,225001,240000,0.0628550184061044,1249,20626,328152,752
B_SPWA,Scaffold_1__1_contigs__length_31190920,225001,240000,0.0498169036672725,1249,7455,149648,16
E_NCCA,Scaffold_1__1_contigs__length_31190920,225001,240000,0.055149580786212,1249,121800,2208539,38
B_SPWA,Scaffold_1__1_contigs__length_31190920,240001,255000,0.0538206559665038,1433,9255,171960,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,240001,255000,0.0531513262191935,1433,134746,2535139,22
Salish,Scaffold_1__1_contigs__length_31190920,240001,255000,0.0571768582936653,1433,21861,382340,592
Salish,Scaffold_1__1_contigs__length_31190920,255001,270000,0.0599400522817696,1489,23457,391341,886
B_SPWA,Scaffold_1__1_contigs__length_31190920,255001,270000,0.0477488775178869,1489,8529,178622,4
E_NCCA,Scaffold_1__1_contigs__length_31190920,255001,270000,0.052394221422067,1489,138032,2634489,18
B_SPWA,Scaffold_1__1_contigs__length_31190920,270001,285000,0.0483550241552051,1308,7587,156902,4
Salish,Scaffold_1__1_contigs__length_31190920,270001,285000,0.0615484578953448,1308,21313,346280,664
E_NCCA,Scaffold_1__1_contigs__length_31190920,270001,285000,0.0543551622070851,1308,125313,2305448,168
B_SPWA,Scaffold_1__1_contigs__length_31190920,285001,300000,0.0806353609810287,1358,13138,162931,2
E_NCCA,Scaffold_1__1_contigs__length_31190920,285001,300000,0.0834231769942372,1358,199945,2396756,120
Salish,Scaffold_1__1_contigs__length_31190920,285001,300000,0.0911022302156318,1358,33533,368081,302
Salish,Scaffold_1__1_contigs__length_31190920,300001,315000,0.0777380024978051,1217,25147,323484,568
B_SPWA,Scaffold_1__1_contigs__length_31190920,300001,315000,0.0531224322103533,1217,7758,146040,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,300001,315000,0.0592500557372175,1217,127563,2152960,20
Salish,Scaffold_1__1_contigs__length_31190920,315001,330000,0.0411586739982872,1327,14611,354992,512
B_SPWA,Scaffold_1__1_contigs__length_31190920,315001,330000,0.024051699209173,1327,3826,159074,12
E_NCCA,Scaffold_1__1_contigs__length_31190920,315001,330000,0.0323455611159834,1327,75939,2347741,18
B_SPWA,Scaffold_1__1_contigs__length_31190920,330001,345000,0.0534147517274626,521,3324,62230,20
E_NCCA,Scaffold_1__1_contigs__length_31190920,330001,345000,0.0274923819101146,521,25343,921819,6
Salish,Scaffold_1__1_contigs__length_31190920,330001,345000,0.0576540895077984,521,8210,142401,62
Salish,Scaffold_1__1_contigs__length_31190920,345001,360000,0.0551774483020239,1176,17309,313697,486
B_SPWA,Scaffold_1__1_contigs__length_31190920,345001,360000,0.0539214970732917,1176,7388,137014,284
E_NCCA,Scaffold_1__1_contigs__length_31190920,345001,360000,0.0219318411667514,1176,45649,2081403,2
E_NCCA,Scaffold_1__1_contigs__length_31190920,360001,375000,0.0571357493501518,1203,121266,2122419,118
B_SPWA,Scaffold_1__1_contigs__length_31190920,360001,375000,0.0596419665993811,1203,8539,143171,82
Salish,Scaffold_1__1_contigs__length_31190920,360001,375000,0.0589003473016012,1203,18808,319319,570
Salish,Scaffold_1__1_contigs__length_31190920,375001,390000,0.0375861326149139,1363,13784,366731,426
B_SPWA,Scaffold_1__1_contigs__length_31190920,375001,390000,0.0481535827830765,1363,7876,163560,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,375001,390000,0.0331430638325761,1363,79901,2410791,30
E_NCCA,Scaffold_1__1_contigs__length_31190920,390001,405000,0.053915040112384,1093,104161,1931947,46
B_SPWA,Scaffold_1__1_contigs__length_31190920,390001,405000,0.0549038153498802,1093,7198,131102,4
Salish,Scaffold_1__1_contigs__length_31190920,390001,405000,0.0593109988009303,1093,17263,291059,482
B_SPWA,Scaffold_1__1_contigs__length_31190920,405001,420000,0.0451029992011812,1378,7453,165244,8
E_NCCA,Scaffold_1__1_contigs__length_31190920,405001,420000,0.0466402315392162,1378,113658,2436909,38
Salish,Scaffold_1__1_contigs__length_31190920,405001,420000,0.0519641649115215,1378,18973,365117,694
Salish,Scaffold_1__1_contigs__length_31190920,420001,435000,0.0815046025063662,1544,33319,408799,786
B_SPWA,Scaffold_1__1_contigs__length_31190920,420001,435000,0.0922244657762036,1544,17082,185222,4
E_NCCA,Scaffold_1__1_contigs__length_31190920,420001,435000,0.081647637039381,1544,222408,2723998,156
Salish,Scaffold_1__1_contigs__length_31190920,435001,450000,0.0305649688568145,1006,8352,273254,196
B_SPWA,Scaffold_1__1_contigs__length_31190920,435001,450000,0.0409625579854208,1006,4945,120720,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,435001,450000,0.037895237126827,1006,67455,1780039,10
Salish,Scaffold_1__1_contigs__length_31190920,450001,465000,0.0558665592464912,1061,16157,289207,162
B_SPWA,Scaffold_1__1_contigs__length_31190920,450001,465000,0.049387370405278,1061,6288,127320,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,450001,465000,0.0517335512245996,1061,97124,1877389,10
B_SPWA,Scaffold_1__1_contigs__length_31190920,465001,480000,0.0609382516013063,1647,12035,197495,10
E_NCCA,Scaffold_1__1_contigs__length_31190920,465001,480000,0.062716668562257,1647,182522,2910263,86
Salish,Scaffold_1__1_contigs__length_31190920,465001,480000,0.0513310345917701,1647,22732,442851,530
Salish,Scaffold_1__1_contigs__length_31190920,480001,495000,0.0528089137008066,1270,18181,344279,282
E_NCCA,Scaffold_1__1_contigs__length_31190920,480001,495000,0.0697354631266754,1270,156502,2244224,64
B_SPWA,Scaffold_1__1_contigs__length_31190920,480001,495000,0.0693449149475208,1270,10538,151965,30
E_NCCA,Scaffold_1__1_contigs__length_31190920,495001,510000,0.0325455642770577,1276,73501,2258403,2
B_SPWA,Scaffold_1__1_contigs__length_31190920,495001,510000,0.0367432805007121,1276,5624,153062,4
Salish,Scaffold_1__1_contigs__length_31190920,495001,510000,0.0243158377329438,1276,8433,346811,242
Salish,Scaffold_1__1_contigs__length_31190920,510001,525000,0.0392351021445031,1433,15136,385777,438
E_NCCA,Scaffold_1__1_contigs__length_31190920,510001,525000,0.0403537118282895,1433,102299,2535058,24
B_SPWA,Scaffold_1__1_contigs__length_31190920,510001,525000,0.0478483368225168,1433,8228,171960,0
Salish,Scaffold_1__1_contigs__length_31190920,525001,540000,0.0773110895788572,1311,27527,356055,258
B_SPWA,Scaffold_1__1_contigs__length_31190920,525001,540000,0.1039103368738968,1311,16308,156943,26
E_NCCA,Scaffold_1__1_contigs__length_31190920,525001,540000,0.0971264990475763,1311,225015,2316721,66
E_NCCA,Scaffold_1__1_contigs__length_31190920,540001,555000,0.0842760870159843,1596,237243,2815069,174
B_SPWA,Scaffold_1__1_contigs__length_31190920,540001,555000,0.079203216374269,1596,15169,191520,0
Salish,Scaffold_1__1_contigs__length_31190920,540001,555000,0.0702961202151306,1596,30075,427833,566
E_NCCA,Scaffold_1__1_contigs__length_31190920,555001,570000,0.0856014392329148,1670,252754,2952684,56
Salish,Scaffold_1__1_contigs__length_31190920,555001,570000,0.0844971394664069,1670,37736,446595,650
B_SPWA,Scaffold_1__1_contigs__length_31190920,555001,570000,0.087357206007962,1670,17489,200201,14
Salish,Scaffold_1__1_contigs__length_31190920,570001,585000,0.0942654351858923,1515,38263,405907,562
E_NCCA,Scaffold_1__1_contigs__length_31190920,570001,585000,0.0975878884368846,1515,260016,2664429,298
B_SPWA,Scaffold_1__1_contigs__length_31190920,570001,585000,0.0965456400077192,1515,17510,181365,30
Salish,Scaffold_1__1_contigs__length_31190920,585001,600000,0.1004578697837991,1747,47018,468037,638
B_SPWA,Scaffold_1__1_contigs__length_31190920,585001,600000,0.1038010994598639,1747,21639,208466,84
E_NCCA,Scaffold_1__1_contigs__length_31190920,585001,600000,0.095232662939894,1747,293850,3085601,114
B_SPWA,Scaffold_1__1_contigs__length_31190920,600001,615000,0.0614896755162241,1130,8338,135600,0
Salish,Scaffold_1__1_contigs__length_31190920,600001,615000,0.05599609375,1130,17202,307200,208
E_NCCA,Scaffold_1__1_contigs__length_31190920,600001,615000,0.06972897302443,1130,139318,1997993,38
Salish,Scaffold_1__1_contigs__length_31190920,615001,630000,0.050468883205456,365,5032,99705,46
B_SPWA,Scaffold_1__1_contigs__length_31190920,615001,630000,0.0715296803652968,365,3133,43800,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,615001,630000,0.0778979955111833,365,50326,646050,0
Salish,Scaffold_1__1_contigs__length_31190920,630001,645000,0.0794123762879984,1680,35899,452058,524
B_SPWA,Scaffold_1__1_contigs__length_31190920,630001,645000,0.0865724206349206,1680,17453,201600,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,630001,645000,0.0839442835024572,1680,248968,2965872,136
Salish,Scaffold_1__1_contigs__length_31190920,645001,660000,0.071166689414655,784,15121,212473,174
B_SPWA,Scaffold_1__1_contigs__length_31190920,645001,660000,0.0848639455782312,784,7984,94080,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,645001,660000,0.076732961174763,784,106212,1384177,62
Salish,Scaffold_1__1_contigs__length_31190920,660001,675000,0.0811319716224946,1306,28007,345203,698
B_SPWA,Scaffold_1__1_contigs__length_31190920,660001,675000,0.0856687085247575,1306,13426,156720,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,660001,675000,0.076085284555601,1306,175101,2301378,180
Salish,Scaffold_1__1_contigs__length_31190920,675001,690000,0.0734109644046578,1409,27972,381033,350
B_SPWA,Scaffold_1__1_contigs__length_31190920,675001,690000,0.0826188066961353,1409,13962,168993,6
E_NCCA,Scaffold_1__1_contigs__length_31190920,675001,690000,0.0775637419023718,1409,193140,2490081,66
B_SPWA,Scaffold_1__1_contigs__length_31190920,690001,705000,0.0432637335321899,1341,6962,160920,0
Salish,Scaffold_1__1_contigs__length_31190920,690001,705000,0.0252240820809797,1341,9025,357793,566
E_NCCA,Scaffold_1__1_contigs__length_31190920,690001,705000,0.0309380291057977,1341,73401,2372517,18
E_NCCA,Scaffold_1__1_contigs__length_31190920,705001,720000,0.0197495021615624,961,33591,1700853,2
B_SPWA,Scaffold_1__1_contigs__length_31190920,705001,720000,0.0200919181408255,961,2317,115320,0
Salish,Scaffold_1__1_contigs__length_31190920,705001,720000,0.0132127662023271,961,3444,260657,206
Salish,Scaffold_1__1_contigs__length_31190920,720001,735000,0.0158954679261682,886,3877,243906,28
B_SPWA,Scaffold_1__1_contigs__length_31190920,720001,735000,0.0132712565838976,886,1411,106320,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,720001,735000,0.0143987254988246,886,22577,1567986,4
E_NCCA,Scaffold_1__1_contigs__length_31190920,735001,750000,0.0319815573245157,1169,66118,2067379,30
B_SPWA,Scaffold_1__1_contigs__length_31190920,735001,750000,0.0259908753920729,1169,3646,140280,0
Salish,Scaffold_1__1_contigs__length_31190920,735001,750000,0.0348812964525266,1169,10874,311743,490
Salish,Scaffold_1__1_contigs__length_31190920,750001,765000,0.0675636436179055,1713,30481,451145,990
B_SPWA,Scaffold_1__1_contigs__length_31190920,750001,765000,0.0597343841214244,1713,12279,205560,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,750001,765000,0.0824238823429001,1713,249158,3022886,160
B_SPWA,Scaffold_1__1_contigs__length_31190920,765001,780000,0.0732215418609441,1783,15641,213612,24
E_NCCA,Scaffold_1__1_contigs__length_31190920,765001,780000,0.0730797093286514,1783,230308,3151463,78
Salish,Scaffold_1__1_contigs__length_31190920,765001,780000,0.0647784884949604,1783,30959,477921,638
Salish,Scaffold_1__1_contigs__length_31190920,780001,795000,0.0709991254919108,1663,31176,439104,904
B_SPWA,Scaffold_1__1_contigs__length_31190920,780001,795000,0.0715604430887782,1663,14264,199328,16
E_NCCA,Scaffold_1__1_contigs__length_31190920,780001,795000,0.0717458413195733,1663,210031,2927431,278
E_NCCA,Scaffold_1__1_contigs__length_31190920,795001,810000,0.077707896869214,1358,185087,2381830,380
B_SPWA,Scaffold_1__1_contigs__length_31190920,795001,810000,0.0786077242024188,1358,12778,162554,28
Salish,Scaffold_1__1_contigs__length_31190920,795001,810000,0.0754658257913919,1358,27642,366285,382
Salish,Scaffold_1__1_contigs__length_31190920,810001,825000,0.0798353808353808,1502,32493,407000,336
B_SPWA,Scaffold_1__1_contigs__length_31190920,810001,825000,0.0751981967977615,1502,13545,180124,8
E_NCCA,Scaffold_1__1_contigs__length_31190920,810001,825000,0.0776317142466495,1502,206107,2654933,62
E_NCCA,Scaffold_1__1_contigs__length_31190920,825001,840000,0.0965639058948752,1784,303738,3145461,214
B_SPWA,Scaffold_1__1_contigs__length_31190920,825001,840000,0.1025834255704966,1784,21780,212315,122
Salish,Scaffold_1__1_contigs__length_31190920,825001,840000,0.105894473775674,1784,51186,483368,408
Salish,Scaffold_1__1_contigs__length_31190920,840001,855000,0.0895073199003048,1421,34440,384773,334
B_SPWA,Scaffold_1__1_contigs__length_31190920,840001,855000,0.0913030729533192,1421,15569,170520,0
E_NCCA,Scaffold_1__1_contigs__length_31190920,840001,855000,0.0917752259103623,1421,230433,2510841,74
E_NCCA,Scaffold_1__1_contigs__length_31190920,855001,870000,0.0901966097137004,1110,177095,1963433,22
B_SPWA,Scaffold_1__1_contigs__length_31190920,855001,870000,0.0911207582881434,1110,12132,133142,4
Salish,Scaffold_1__1_contigs__length_31190920,855001,870000,0.0881421421623568,1110,26188,297111,426
Salish,Scaffold_1__1_contigs__length_31190920,870001,885000,0.1207249936812839,1864,61139,506432,360
B_SPWA,Scaffold_1__1_contigs__length_31190920,870001,885000,0.1232707332807684,1864,27516,223216,32
E_NCCA,Scaffold_1__1_contigs__length_31190920,870001,885000,0.1263873750693383,1864,415590,3288224,192
E_NCCA,Scaffold_1__1_contigs__length_31190920,885001,900000,0.0989815853348288,1770,309313,3124955,138
B_SPWA,Scaffold_1__1_contigs__length_31190920,885001,900000,0.0967150013679632,1770,20503,211994,28
Salish,Scaffold_1__1_contigs__length_31190920,885001,900000,0.0903070264617887,1770,43526,481978,292
B_SPWA,Scaffold_1__1_contigs__length_31190920,900001,915000,0.0945028959971293,1816,20542,217369,38
E_NCCA,Scaffold_1__1_contigs__length_31190920,900001,915000,0.0905185839923545,1816,290021,3203994,180
Salish,Scaffold_1__1_contigs__length_31190920,900001,915000,0.0824353228347742,1816,40391,489972,504
E_NCCA,Scaffold_1__1_contigs__length_31190920,915001,930000,0.1084445397473583,1811,346931,3199156,108
B_SPWA,Scaffold_1__1_contigs__length_31190920,915001,930000,0.1027148904840787,1811,22322,217320,0
Salish,Scaffold_1__1_contigs__length_31190920,915001,930000,0.1095599932929547,1811,53579,489038,484
B_SPWA,Scaffold_1__1_contigs__length_31190920,930001,945000,0.1300600109110747,1993,30992,238290,60
E_NCCA,Scaffold_1__1_contigs__length_31190920,930001,945000,0.1339557874346313,1993,471760,3521759,102
Salish,Scaffold_1__1_contigs__length_31190920,930001,945000,0.1265763316279912,1993,68434,540654,420
Salish,Scaffold_1__1_contigs__length_31190920,945001,960000,0.1177686073210886,1879,59445,504761,622
B_SPWA,Scaffold_1__1_contigs__length_31190920,945001,960000,0.1264620791253261,1879,28500,225364,8
E_NCCA,Scaffold_1__1_contigs__length_31190920,945001,960000,0.1180976318542007,1879,391678,3316561,162
Salish,Scaffold_1__1_contigs__length_31190920,960001,975000,0.1049881777158796,1886,53372,508362,556
B_SPWA,Scaffold_1__1_contigs__length_31190920,960001,975000,0.104774042801763,1886,23676,225972,24
E_NCCA,Scaffold_1__1_contigs__length_31190920,960001,975000,0.1027559845907094,1886,342758,3335650,44
Salish,Scaffold_1__1_contigs__length_31190920,975001,990000,0.1095408757391097,1621,48445,442255,234
B_SPWA,Scaffold_1__1_contigs__length_31190920,975001,990000,0.1046516427274228,1621,20284,193824,48
E_NCCA,Scaffold_1__1_contigs__length_31190920,975001,990000,0.1086271246280324,1621,310140,2855088,244
E_NCCA,Scaffold_1__1_contigs__length_31190920,990001,1005000,0.0989145614222968,1591,275245,2782654,584
B_SPWA,Scaffold_1__1_contigs__length_31190920,990001,1005000,0.0846756650504521,1591,16154,190775,10
Salish,Scaffold_1__1_contigs__length_31190920,990001,1005000,0.0874646837411766,1591,38016,434644,200
E_NCCA,Scaffold_1__1_contigs__length_31190920,1005001,1020000,0.1199079061027693,1811,383262,3196303,158
B_SPWA,Scaffold_1__1_contigs__length_31190920,1005001,1020000,0.1049576382458225,1811,22782,217059,18
Salish,Scaffold_1__1_contigs__length_31190920,1005001,1020000,0.1238565746191313,1811,60470,488226,524
E_NCCA,Scaffold_1__1_contigs__length_31190920,1020001,1035000,0.0732355608739214,1428,185073,2527092,8
B_SPWA,Scaffold_1__1_contigs__length_31190920,1020001,1035000,0.0642148823038446,1428,11002,171331,2
Salish,Scaffold_1__1_contigs__length_31190920,1020001,1035000,0.0784153182448276,1428,30264,385945,366
Salish,Scaffold_1__1_contigs__length_31190920,1035001,1050000,0.0808378785119292,1563,33733,417292,632
B_SPWA,Scaffold_1__1_contigs__length_31190920,1035001,1050000,0.079223087474714,1563,14843,187357,14
E_NCCA,Scaffold_1__1_contigs__length_31190920,1035001,1050000,0.0820825849913105,1563,225953,2752752,236
Salish,Scaffold_1__1_contigs__length_31190920,1050001,1065000,0.1152973689298868,1555,48896,424086,228
E_NCCA,Scaffold_1__1_contigs__length_31190920,1050001,1065000,0.1138229930332535,1555,312318,2743892,148
B_SPWA,Scaffold_1__1_contigs__length_31190920,1050001,1065000,0.1104735115868355,1555,20580,186289,22
Salish,Scaffold_1__1_contigs__length_31190920,1065001,1080000,0.1125043987593095,1932,58506,520033,598
B_SPWA,Scaffold_1__1_contigs__length_31190920,1065001,1080000,0.12214126432609031,1932,28263,231396,32
E_NCCA,Scaffold_1__1_contigs__length_31190920,1065001,1080000,0.1142239513496555,1932,389218,3407499,210
E_NCCA,Scaffold_1__1_contigs__length_31190920,1080001,1095000,0.1071558228923272,1648,311986,2911517,94
B_SPWA,Scaffold_1__1_contigs__length_31190920,1080001,1095000,0.1121591267138951,1648,22070,196774,68
Salish,Scaffold_1__1_contigs__length_31190920,1080001,1095000,0.1048368630655466,1648,46700,445454,420
Salish,Scaffold_1__1_contigs__length_31190920,1095001,1110000,0.1002910779696494,1831,49064,489216,744
B_SPWA,Scaffold_1__1_contigs__length_31190920,1095001,1110000,0.1183745827735689,1831,25641,216609,230
E_NCCA,Scaffold_1__1_contigs__length_31190920,1095001,1110000,0.1034636430896806,1831,334780,3235726,88
E_NCCA,Scaffold_1__1_contigs__length_31190920,1110001,1125000,0.101837537314284,2184,392866,3857772,136
B_SPWA,Scaffold_1__1_contigs__length_31190920,1110001,1125000,0.1024512428298279,2184,26791,261500,40
Salish,Scaffold_1__1_contigs__length_31190920,1110001,1125000,0.1029895886763775,2184,60035,582923,898
Salish,Scaffold_1__1_contigs__length_31190920,1125001,1140000,0.1102729460637682,1208,35464,321602,532
B_SPWA,Scaffold_1__1_contigs__length_31190920,1125001,1140000,0.1126449666472916,1208,16279,144516,32
E_NCCA,Scaffold_1__1_contigs__length_31190920,1125001,1140000,0.1072571788183942,1208,228721,2132454,100
Salish,Scaffold_1__1_contigs__length_31190920,1140001,1155000,0.1344023066118504,2618,94348,701982,924
E_NCCA,Scaffold_1__1_contigs__length_31190920,1140001,1155000,0.1471108142802623,2618,678428,4611680,384
B_SPWA,Scaffold_1__1_contigs__length_31190920,1140001,1155000,0.1518699788785869,2618,47600,313426,52
E_NCCA,Scaffold_1__1_contigs__length_31190920,1155001,1170000,0.1377162087846132,2557,613782,4456861,1202
B_SPWA,Scaffold_1__1_contigs__length_31190920,1155001,1170000,0.1315795497277766,2557,40239,305815,74
Salish,Scaffold_1__1_contigs__length_31190920,1155001,1170000,0.1328586531591451,2557,91487,688604,776
B_SPWA,Scaffold_1__1_contigs__length_31190920,1170001,1185000,0.1568849634017277,3013,56627,360946,44
E_NCCA,Scaffold_1__1_contigs__length_31190920,1170001,1185000,0.1554816698678402,3013,821727,5285041,842
Salish,Scaffold_1__1_contigs__length_31190920,1170001,1185000,0.1526767059932175,3013,123133,806495,1138
Salish,Scaffold_1__1_contigs__length_31190920,1185001,1200000,0.1294563893770441,2643,90682,700483,1314
B_SPWA,Scaffold_1__1_contigs__length_31190920,1185001,1200000,0.1274379474713713,2643,40263,315942,84
E_NCCA,Scaffold_1__1_contigs__length_31190920,1185001,1200000,0.1309700389786665,2643,609344,4652545,450
Salish,Scaffold_1__1_contigs__length_31190920,1200001,1215000,0.1104021318595939,2123,62807,568893,774
B_SPWA,Scaffold_1__1_contigs__length_31190920,1200001,1215000,0.1083272157298466,2123,27299,252005,190
E_NCCA,Scaffold_1__1_contigs__length_31190920,1200001,1215000,0.1076124926820028,2123,399981,3716864,716
E_NCCA,Scaffold_1__1_contigs__length_31190920,1215001,1230000,0.0526839090158626,1361,126746,2405782,56
B_SPWA,Scaffold_1__1_contigs__length_31190920,1215001,1230000,0.0532033528589985,1361,8683,163204,8
Salish,Scaffold_1__1_contigs__length_31190920,1215001,1230000,0.060391622058405,1361,22496,372502,140
Salish,Scaffold_1__1_contigs__length_31190920,1230001,1245000,0.1110359343308713,2431,72537,653275,794
B_SPWA,Scaffold_1__1_contigs__length_31190920,1230001,1245000,0.1066859073485399,2431,30977,290357,94
E_NCCA,Scaffold_1__1_contigs__length_31190920,1230001,1245000,0.1115564381857936,2431,472702,4237335,1142
Salish,Scaffold_1__1_contigs__length_31190920,1245001,1260000,0.126912249416432,2191,76008,598902,260
B_SPWA,Scaffold_1__1_contigs__length_31190920,1245001,1260000,0.1297867322016875,2191,34116,262862,4
E_NCCA,Scaffold_1__1_contigs__length_31190920,1245001,1260000,0.1215495596380411,2191,470645,3872042,104
Salish,Scaffold_1__1_contigs__length_31190920,1260001,1275000,0.1454752173877048,2726,105432,724742,1260
E_NCCA,Scaffold_1__1_contigs__length_31190920,1260001,1275000,0.1439655887630073,2726,687161,4773092,912
B_SPWA,Scaffold_1__1_contigs__length_31190920,1260001,1275000,0.1586292586399963,2726,51706,325955,82
E_NCCA,Scaffold_1__1_contigs__length_31190920,1275001,1290000,0.1294848169895811,2363,535085,4132415,878
B_SPWA,Scaffold_1__1_contigs__length_31190920,1275001,1290000,0.1425994462853782,2363,39763,278844,336
Salish,Scaffold_1__1_contigs__length_31190920,1275001,1290000,0.1329427597747778,2363,82780,622674,1324
B_SPWA,Scaffold_1__1_contigs__length_31190920,1290001,1305000,0.1366543275414263,2370,38356,280679,266
Salish,Scaffold_1__1_contigs__length_31190920,1290001,1305000,0.1331973585381061,2370,83525,627077,1214
E_NCCA,Scaffold_1__1_contigs__length_31190920,1290001,1305000,0.1333669722467007,2370,557696,4181665,230
Salish,Scaffold_1__1_contigs__length_31190920,1305001,1320000,0.1237522686025408,1866,62187,502512,560
B_SPWA,Scaffold_1__1_contigs__length_31190920,1305001,1320000,0.1253433186041598,1866,27884,222461,102
E_NCCA,Scaffold_1__1_contigs__length_31190920,1305001,1320000,0.1057355948294749,1866,347481,3286320,288
